File,SHA256 Hash.gitignore,68f0e9e89b51b8f6178fa382f99a9f0c1f7d5b347055d5455ece30bf5273aac0
first_hashes.csv,086f70c60a2365246df92c3f411716dc480eb8b2608065e61e2cef8ae037a7d0
main.py,437a3c5d219f6bb2388bb9a98a41bb8342e22cded7f0a270910127e1c5de18fc
.git\config,96750c446f13cce80cb2afd4fac437e735a40adf0ddff53e2c5c438f00c45cde
.git\description,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee
.git\FETCH_HEAD,f72f8e22ff87dbb3f8fe5cbf42825f47a742247b53d98b10844700a0a814ce52
.git\HEAD,f6f2b945f6c411b02ba3da9c7ace88dcf71b6af65ba2e0d89aa82900042b5a10
.git\index,4a8caa68d2ced63ce9e30f15a5c0cb3007c258e392714b149219c280a798de38
.git\packed-refs,d59c3535a95b09a2ab3e6594181f89810257eb70f0857505371f73413023b5e9
.git\hooks\applypatch-msg.sample,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7
.git\hooks\commit-msg.sample,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437
.git\hooks\fsmonitor-watchman.sample,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0
.git\hooks\post-update.sample,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5
.git\hooks\pre-applypatch.sample,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475
.git\hooks\pre-commit.sample,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b
.git\hooks\pre-merge-commit.sample,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53
.git\hooks\pre-push.sample,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a
.git\hooks\pre-rebase.sample,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3
.git\hooks\pre-receive.sample,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989
.git\hooks\prepare-commit-msg.sample,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619
.git\hooks\push-to-checkout.sample,a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f
.git\hooks\sendemail-validate.sample,44ebfc923dc5466bc009602f0ecf067b9c65459abfe8868ddc49b78e6ced7a92
.git\hooks\update.sample,8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106
.git\info\exclude,6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1
.git\logs\HEAD,3c2975c59868620844049ad1f9ab1581cde7816f8d50088b46419a91a2bafaeb
.git\logs\refs\heads\master,3c2975c59868620844049ad1f9ab1581cde7816f8d50088b46419a91a2bafaeb
.git\logs\refs\remotes\origin\HEAD,8196bc58563dac5f82969cc35393a8683218b1bbd5bf37497bdad8a5626f3f9d
.git\objects\pack\pack-1c182565911ddcff2888719d59c5c6d48f4ee121.idx,321a7d96c0045e1a75a353d882e960605d83e5a9f9c633272c1de0d7c198cfa3
.git\objects\pack\pack-1c182565911ddcff2888719d59c5c6d48f4ee121.pack,de269c5716a262a5152bc1155edd269d1e03e460f57ae7ecf084883fe6a6cfda
.git\objects\pack\pack-1c182565911ddcff2888719d59c5c6d48f4ee121.rev,ad0ad0a6f3ba51bb4a221a41b764015cbfa4ce08eb081f7f4514d2fa75ecbaf3
.git\refs\heads\master,19e84fcfc309e3ac12085f1c4a56d681a5d7024f1008ee26b56dc04076799dee
.git\refs\remotes\origin\HEAD,cdc65e67690c4c6475174e5ec662b70655246a2f3924354778835ab3be70aa76
